YEAR,LOCATION,"STATE ANSI","ASD CODE","COUNTY ANSI","REFERENCE PERIOD",COMMODITY,"AREA HARVESTED in ACRES","AREA PLANTED in ACRES","PRODUCTION in BU","YIELD in BU / ACRE","PRODUCTION in $","PRICE RECEIVED in $ / BU"
2000,ARKANSAS,05,"  ","   ",YEAR,SOYBEANS,"3,150,000","3,350,000","80,325,000",25.5,"379,937,000"," "
2000,ARKANSAS,05,"  ","   ","MARKETING YEAR",SOYBEANS," "," "," "," "," ",4.73
2000,DELAWARE,10,"  ","   ",YEAR,SOYBEANS,"213,000","215,000","9,159,000",43,"41,216,000"," "
2000,DELAWARE,10,"  ","   ","MARKETING YEAR",SOYBEANS," "," "," "," "," ",4.5
2000,FLORIDA,12,"  ","   ",YEAR,SOYBEANS,"15,000","20,000","285,000",19,"1,268,000"," "
2000,FLORIDA,12,"  ","   ","MARKETING YEAR",SOYBEANS," "," "," "," "," ",4.45
2000,GEORGIA,13,"  ","   ",YEAR,SOYBEANS,"140,000","170,000","3,360,000",24,"14,885,000"," "
2000,GEORGIA,13,"  ","   ","MARKETING YEAR",SOYBEANS," "," "," "," "," ",4.43
2000,ILLINOIS,17,"  ","   ",YEAR,SOYBEANS,"10,450,000","10,500,000","459,800,000",44,"2,124,276,000"," "
2000,ILLINOIS,17,"  ","   ","MARKETING YEAR",SOYBEANS," "," "," "," "," ",4.62
2000,INDIANA,18,"  ","   ",YEAR,SOYBEANS,"5,480,000","5,500,000","252,080,000",46,"1,162,089,000"," "
2000,INDIANA,18,"  ","   ","MARKETING YEAR",SOYBEANS," "," "," "," "," ",4.61
2000,IOWA,19,"  ","   ",YEAR,SOYBEANS,"10,680,000","10,700,000","464,580,000",43.5,"2,085,964,000"," "
2000,IOWA,19,"  ","   ","MARKETING YEAR",SOYBEANS," "," "," "," "," ",4.49
2000,KANSAS,20,"  ","   ",YEAR,SOYBEANS,"2,500,000","2,950,000","50,000,000",20,"225,000,000"," "
2000,KANSAS,20,"  ","   ","MARKETING YEAR",SOYBEANS," "," "," "," "," ",4.5
2000,KENTUCKY,21,"  ","   ",YEAR,SOYBEANS,"1,160,000","1,180,000","45,240,000",39,"213,080,000"," "
2000,KENTUCKY,21,"  ","   ","MARKETING YEAR",SOYBEANS," "," "," "," "," ",4.71
2000,LOUISIANA,22,"  ","   ",YEAR,SOYBEANS,"850,000","930,000","20,400,000",24,"99,144,000"," "
2000,LOUISIANA,22,"  ","   ","MARKETING YEAR",SOYBEANS," "," "," "," "," ",4.86
2000,MARYLAND,24,"  ","   ",YEAR,SOYBEANS,"515,000","520,000","22,145,000",43,"99,653,000"," "
2000,MARYLAND,24,"  ","   ","MARKETING YEAR",SOYBEANS," "," "," "," "," ",4.5
2000,MICHIGAN,26,"  ","   ",YEAR,SOYBEANS,"2,030,000","2,050,000","73,080,000",36,"331,783,000"," "
2000,MICHIGAN,26,"  ","   ","MARKETING YEAR",SOYBEANS," "," "," "," "," ",4.54
2000,MINNESOTA,27,"  ","   ",YEAR,SOYBEANS,"7,150,000","7,300,000","293,150,000",41,"1,283,997,000"," "
2000,MINNESOTA,27,"  ","   ","MARKETING YEAR",SOYBEANS," "," "," "," "," ",4.38
2000,MISSISSIPPI,28,"  ","   ",YEAR,SOYBEANS,"1,580,000","1,700,000","34,760,000",22,"163,720,000"," "
2000,MISSISSIPPI,28,"  ","   ","MARKETING YEAR",SOYBEANS," "," "," "," "," ",4.71
2000,MISSOURI,29,"  ","   ",YEAR,SOYBEANS,"5,000,000","5,150,000","175,000,000",35,"796,250,000"," "
2000,MISSOURI,29,"  ","   ","MARKETING YEAR",SOYBEANS," "," "," "," "," ",4.55
2000,NEBRASKA,31,"  ","   ",YEAR,SOYBEANS,"4,575,000","4,650,000","173,850,000",38,"771,894,000"," "
2000,NEBRASKA,31,"  ","   ","MARKETING YEAR",SOYBEANS," "," "," "," "," ",4.44
2000,"NEW JERSEY",34,"  ","   ",YEAR,SOYBEANS,"98,000","100,000","3,920,000",40,"17,052,000"," "
2000,"NEW JERSEY",34,"  ","   ","MARKETING YEAR",SOYBEANS," "," "," "," "," ",4.35
2000,"NEW YORK",36,"  ","   ",YEAR,SOYBEANS,"132,000","135,000","4,356,000",33,"19,820,000"," "
2000,"NEW YORK",36,"  ","   ","MARKETING YEAR",SOYBEANS," "," "," "," "," ",4.55
2000,"NORTH CAROLINA",37,"  ","   ",YEAR,SOYBEANS,"1,360,000","1,400,000","44,200,000",32.5,"199,342,000"," "
2000,"NORTH CAROLINA",37,"  ","   ","MARKETING YEAR",SOYBEANS," "," "," "," "," ",4.51
2000,"NORTH DAKOTA",38,"  ","   ",YEAR,SOYBEANS,"1,850,000","1,900,000","59,200,000",32,"250,416,000"," "
2000,"NORTH DAKOTA",38,"  ","   ","MARKETING YEAR",SOYBEANS," "," "," "," "," ",4.23
2000,OHIO,39,"  ","   ",YEAR,SOYBEANS,"4,440,000","4,450,000","186,480,000",42,"863,402,000"," "
2000,OHIO,39,"  ","   ","MARKETING YEAR",SOYBEANS," "," "," "," "," ",4.63
2000,OKLAHOMA,40,"  ","   ",YEAR,SOYBEANS,"290,000","440,000","4,350,000",15,"18,488,000"," "
2000,OKLAHOMA,40,"  ","   ","MARKETING YEAR",SOYBEANS," "," "," "," "," ",4.25
2000,PENNSYLVANIA,42,"  ","   ",YEAR,SOYBEANS,"385,000","390,000","16,555,000",43,"72,345,000"," "
2000,PENNSYLVANIA,42,"  ","   ","MARKETING YEAR",SOYBEANS," "," "," "," "," ",4.37
2000,"SOUTH CAROLINA",45,"  ","   ",YEAR,SOYBEANS,"430,000","450,000","10,750,000",25,"48,375,000"," "
2000,"SOUTH CAROLINA",45,"  ","   ","MARKETING YEAR",SOYBEANS," "," "," "," "," ",4.5
2000,"SOUTH DAKOTA",46,"  ","   ",YEAR,SOYBEANS,"4,370,000","4,400,000","152,950,000",35,"653,097,000"," "
2000,"SOUTH DAKOTA",46,"  ","   ","MARKETING YEAR",SOYBEANS," "," "," "," "," ",4.27
2000,TENNESSEE,47,"  ","   ",YEAR,SOYBEANS,"1,150,000","1,180,000","28,750,000",25,"134,838,000"," "
2000,TENNESSEE,47,"  ","   ","MARKETING YEAR",SOYBEANS," "," "," "," "," ",4.69
2000,TEXAS,48,"  ","   ",YEAR,SOYBEANS,"260,000","290,000","7,020,000",27,"30,888,000"," "
2000,TEXAS,48,"  ","   ","MARKETING YEAR",SOYBEANS," "," "," "," "," ",4.4
2000,VIRGINIA,51,"  ","   ",YEAR,SOYBEANS,"480,000","490,000","18,480,000",38.5,"80,388,000"," "
2000,VIRGINIA,51,"  ","   ","MARKETING YEAR",SOYBEANS," "," "," "," "," ",4.35
2000,"WEST VIRGINIA",54,"  ","   ",YEAR,SOYBEANS,"15,000","16,000","705,000",47,"3,285,000"," "
2000,"WEST VIRGINIA",54,"  ","   ","MARKETING YEAR",SOYBEANS," "," "," "," "," ",4.66
2000,WISCONSIN,55,"  ","   ",YEAR,SOYBEANS,"1,500,000","1,550,000","60,000,000",40,"267,000,000"," "
2000,WISCONSIN,55,"  ","   ","MARKETING YEAR",SOYBEANS," "," "," "," "," ",4.45
2001,ALABAMA,01,"  ","   ",YEAR,SOYBEANS,"135,000","140,000","4,725,000",35,"21,735,000"," "
2001,ALABAMA,01,"  ","   ","MARKETING YEAR",SOYBEANS," "," "," "," "," ",4.6
2001,ARKANSAS,05,"  ","   ",YEAR,SOYBEANS,"2,850,000","2,900,000","91,200,000",32,"398,544,000"," "
2001,ARKANSAS,05,"  ","   ","MARKETING YEAR",SOYBEANS," "," "," "," "," ",4.37
2001,DELAWARE,10,"  ","   ",YEAR,SOYBEANS,"201,000","205,000","7,839,000",39,"33,316,000"," "
2001,DELAWARE,10,"  ","   ","MARKETING YEAR",SOYBEANS," "," "," "," "," ",4.25
2001,FLORIDA,12,"  ","   ",YEAR,SOYBEANS,"9,000","10,000","261,000",29,"1,096,000"," "
2001,FLORIDA,12,"  ","   ","MARKETING YEAR",SOYBEANS," "," "," "," "," ",4.2
2001,GEORGIA,13,"  ","   ",YEAR,SOYBEANS,"155,000","165,000","4,030,000",26,"17,531,000"," "
2001,GEORGIA,13,"  ","   ","MARKETING YEAR",SOYBEANS," "," "," "," "," ",4.35
2001,ILLINOIS,17,"  ","   ",YEAR,SOYBEANS,"10,620,000","10,700,000","477,900,000",45,"2,174,445,000"," "
2001,ILLINOIS,17,"  ","   ","MARKETING YEAR",SOYBEANS," "," "," "," "," ",4.55
2001,INDIANA,18,"  ","   ",YEAR,SOYBEANS,"5,590,000","5,600,000","273,910,000",49,"1,210,682,000"," "
2001,INDIANA,18,"  ","   ","MARKETING YEAR",SOYBEANS," "," "," "," "," ",4.42
2001,IOWA,19,"  ","   ",YEAR,SOYBEANS,"10,920,000","11,000,000","480,480,000",44,"2,090,088,000"," "
2001,IOWA,19,"  ","   ","MARKETING YEAR",SOYBEANS," "," "," "," "," ",4.35
2001,KANSAS,20,"  ","   ",YEAR,SOYBEANS,"2,730,000","2,850,000","87,360,000",32,"363,418,000"," "
2001,KANSAS,20,"  ","   ","MARKETING YEAR",SOYBEANS," "," "," "," "," ",4.16
2001,KENTUCKY,21,"  ","   ",YEAR,SOYBEANS,"1,220,000","1,240,000","48,800,000",40,"218,136,000"," "
2001,KENTUCKY,21,"  ","   ","MARKETING YEAR",SOYBEANS," "," "," "," "," ",4.47
2001,LOUISIANA,22,"  ","   ",YEAR,SOYBEANS,"610,000","640,000","20,130,000",33,"88,371,000"," "
2001,LOUISIANA,22,"  ","   ","MARKETING YEAR",SOYBEANS," "," "," "," "," ",4.39
2001,MARYLAND,24,"  ","   ",YEAR,SOYBEANS,"515,000","520,000","20,085,000",39,"84,357,000"," "
2001,MARYLAND,24,"  ","   ","MARKETING YEAR",SOYBEANS," "," "," "," "," ",4.2
2001,MICHIGAN,26,"  ","   ",YEAR,SOYBEANS,"2,130,000","2,150,000","63,900,000",30,"285,633,000"," "
2001,MICHIGAN,26,"  ","   ","MARKETING YEAR",SOYBEANS," "," "," "," "," ",4.47
2001,MINNESOTA,27,"  ","   ",YEAR,SOYBEANS,"7,200,000","7,300,000","266,400,000",37,"1,150,848,000"," "
2001,MINNESOTA,27,"  ","   ","MARKETING YEAR",SOYBEANS," "," "," "," "," ",4.32
2001,MISSISSIPPI,28,"  ","   ",YEAR,SOYBEANS,"1,120,000","1,160,000","36,960,000",33,"162,254,000"," "
2001,MISSISSIPPI,28,"  ","   ","MARKETING YEAR",SOYBEANS," "," "," "," "," ",4.39
2001,MISSOURI,29,"  ","   ",YEAR,SOYBEANS,"4,900,000","4,950,000","186,200,000",38,"804,384,000"," "
2001,MISSOURI,29,"  ","   ","MARKETING YEAR",SOYBEANS," "," "," "," "," ",4.32
2001,NEBRASKA,31,"  ","   ",YEAR,SOYBEANS,"4,900,000","4,950,000","222,950,000",45.5,"934,161,000"," "
2001,NEBRASKA,31,"  ","   ","MARKETING YEAR",SOYBEANS," "," "," "," "," ",4.19
2001,"NEW JERSEY",34,"  ","   ",YEAR,SOYBEANS,"101,000","103,000","3,131,000",31,"12,994,000"," "
2001,"NEW JERSEY",34,"  ","   ","MARKETING YEAR",SOYBEANS," "," "," "," "," ",4.15
2001,"NEW YORK",36,"  ","   ",YEAR,SOYBEANS,"158,000","160,000","5,214,000",33,"23,724,000"," "
2001,"NEW YORK",36,"  ","   ","MARKETING YEAR",SOYBEANS," "," "," "," "," ",4.55
2001,"NORTH CAROLINA",37,"  ","   ",YEAR,SOYBEANS,"1,350,000","1,380,000","43,200,000",32,"185,328,000"," "
2001,"NORTH CAROLINA",37,"  ","   ","MARKETING YEAR",SOYBEANS," "," "," "," "," ",4.29
2001,"NORTH DAKOTA",38,"  ","   ",YEAR,SOYBEANS,"2,110,000","2,150,000","70,685,000",33.5,"286,274,000"," "
2001,"NORTH DAKOTA",38,"  ","   ","MARKETING YEAR",SOYBEANS," "," "," "," "," ",4.05
2001,OHIO,39,"  ","   ",YEAR,SOYBEANS,"4,580,000","4,600,000","187,780,000",41,"837,499,000"," "
2001,OHIO,39,"  ","   ","MARKETING YEAR",SOYBEANS," "," "," "," "," ",4.46
2001,OKLAHOMA,40,"  ","   ",YEAR,SOYBEANS,"255,000","415,000","4,845,000",19,"20,834,000"," "
2001,OKLAHOMA,40,"  ","   ","MARKETING YEAR",SOYBEANS," "," "," "," "," ",4.3
2001,PENNSYLVANIA,42,"  ","   ",YEAR,SOYBEANS,"395,000","400,000","13,825,000",35,"58,895,000"," "
2001,PENNSYLVANIA,42,"  ","   ","MARKETING YEAR",SOYBEANS," "," "," "," "," ",4.26
2001,"SOUTH CAROLINA",45,"  ","   ",YEAR,SOYBEANS,"420,000","440,000","8,820,000",21,"39,249,000"," "
2001,"SOUTH CAROLINA",45,"  ","   ","MARKETING YEAR",SOYBEANS," "," "," "," "," ",4.45
2001,"SOUTH DAKOTA",46,"  ","   ",YEAR,SOYBEANS,"4,470,000","4,500,000","143,040,000",32,"590,755,000"," "
2001,"SOUTH DAKOTA",46,"  ","   ","MARKETING YEAR",SOYBEANS," "," "," "," "," ",4.13
2001,TENNESSEE,47,"  ","   ",YEAR,SOYBEANS,"1,040,000","1,070,000","35,360,000",34,"157,706,000"," "
2001,TENNESSEE,47,"  ","   ","MARKETING YEAR",SOYBEANS," "," "," "," "," ",4.46
2001,TEXAS,48,"  ","   ",YEAR,SOYBEANS,"225,000","260,000","5,850,000",26,"26,910,000"," "
2001,TEXAS,48,"  ","   ","MARKETING YEAR",SOYBEANS," "," "," "," "," ",4.6
2001,VIRGINIA,51,"  ","   ",YEAR,SOYBEANS,"480,000","500,000","17,040,000",35.5,"73,272,000"," "
2001,VIRGINIA,51,"  ","   ","MARKETING YEAR",SOYBEANS," "," "," "," "," ",4.3
2001,"WEST VIRGINIA",54,"  ","   ",YEAR,SOYBEANS,"16,000","17,000","672,000",42,"2,910,000"," "
2001,"WEST VIRGINIA",54,"  ","   ","MARKETING YEAR",SOYBEANS," "," "," "," "," ",4.33
2001,WISCONSIN,55,"  ","   ",YEAR,SOYBEANS,"1,570,000","1,600,000","58,090,000",37,"250,368,000"," "
2001,WISCONSIN,55,"  ","   ","MARKETING YEAR",SOYBEANS," "," "," "," "," ",4.31
2002,ALABAMA,01,"  ","   ",YEAR,SOYBEANS,"155,000","170,000","3,720,000",24,"20,646,000"," "
2002,ALABAMA,01,"  ","   ","MARKETING YEAR",SOYBEANS," "," "," "," "," ",5.55
2002,ARKANSAS,05,"  ","   ",YEAR,SOYBEANS,"2,880,000","2,950,000","96,480,000",33.5,"545,112,000"," "
2002,ARKANSAS,05,"  ","   ","MARKETING YEAR",SOYBEANS," "," "," "," "," ",5.65
2002,DELAWARE,10,"  ","   ",YEAR,SOYBEANS,"185,000","190,000","4,625,000",25,"26,363,000"," "
2002,DELAWARE,10,"  ","   ","MARKETING YEAR",SOYBEANS," "," "," "," "," ",5.7
2002,FLORIDA,12,"  ","   ",YEAR,SOYBEANS,"9,000","10,000","297,000",33,"1,589,000"," "
2002,FLORIDA,12,"  ","   ","MARKETING YEAR",SOYBEANS," "," "," "," "," ",5.35
2002,GEORGIA,13,"  ","   ",YEAR,SOYBEANS,"140,000","160,000","3,220,000",23,"17,549,000"," "
2002,GEORGIA,13,"  ","   ","MARKETING YEAR",SOYBEANS," "," "," "," "," ",5.45
2002,ILLINOIS,17,"  ","   ",YEAR,SOYBEANS,"10,550,000","10,600,000","453,650,000",43,"2,567,659,000"," "
2002,ILLINOIS,17,"  ","   ","MARKETING YEAR",SOYBEANS," "," "," "," "," ",5.66
2002,INDIANA,18,"  ","   ",YEAR,SOYBEANS,"5,770,000","5,800,000","239,455,000",41.5,"1,328,975,000"," "
2002,INDIANA,18,"  ","   ","MARKETING YEAR",SOYBEANS," "," "," "," "," ",5.55
2002,IOWA,19,"  ","   ",YEAR,SOYBEANS,"10,400,000","10,450,000","499,200,000",48,"2,765,568,000"," "
2002,IOWA,19,"  ","   ","MARKETING YEAR",SOYBEANS," "," "," "," "," ",5.54
2002,KANSAS,20,"  ","   ",YEAR,SOYBEANS,"2,540,000","2,750,000","58,420,000",23,"320,726,000"," "
2002,KANSAS,20,"  ","   ","MARKETING YEAR",SOYBEANS," "," "," "," "," ",5.49
2002,KENTUCKY,21,"  ","   ",YEAR,SOYBEANS,"1,290,000","1,310,000","42,570,000",33,"244,352,000"," "
2002,KENTUCKY,21,"  ","   ","MARKETING YEAR",SOYBEANS," "," "," "," "," ",5.74
2002,LOUISIANA,22,"  ","   ",YEAR,SOYBEANS,"660,000","800,000","21,120,000",32,"116,582,000"," "
2002,LOUISIANA,22,"  ","   ","MARKETING YEAR",SOYBEANS," "," "," "," "," ",5.52
2002,MARYLAND,24,"  ","   ",YEAR,SOYBEANS,"470,000","490,000","10,810,000",23,"61,617,000"," "
2002,MARYLAND,24,"  ","   ","MARKETING YEAR",SOYBEANS," "," "," "," "," ",5.7
2002,MICHIGAN,26,"  ","   ",YEAR,SOYBEANS,"2,040,000","2,050,000","78,540,000",38.5,"441,395,000"," "
2002,MICHIGAN,26,"  ","   ","MARKETING YEAR",SOYBEANS," "," "," "," "," ",5.62
2002,MINNESOTA,27,"  ","   ",YEAR,SOYBEANS,"7,100,000","7,200,000","308,850,000",43.5,"1,673,967,000"," "
2002,MINNESOTA,27,"  ","   ","MARKETING YEAR",SOYBEANS," "," "," "," "," ",5.42
2002,MISSISSIPPI,28,"  ","   ",YEAR,SOYBEANS,"1,370,000","1,440,000","43,840,000",32,"241,997,000"," "
2002,MISSISSIPPI,28,"  ","   ","MARKETING YEAR",SOYBEANS," "," "," "," "," ",5.52
2002,MISSOURI,29,"  ","   ",YEAR,SOYBEANS,"5,000,000","5,050,000","170,000,000",34,"941,800,000"," "
2002,MISSOURI,29,"  ","   ","MARKETING YEAR",SOYBEANS," "," "," "," "," ",5.54
2002,NEBRASKA,31,"  ","   ",YEAR,SOYBEANS,"4,580,000","4,700,000","176,330,000",38.5,"957,472,000"," "
2002,NEBRASKA,31,"  ","   ","MARKETING YEAR",SOYBEANS," "," "," "," "," ",5.43
2002,"NEW JERSEY",34,"  ","   ",YEAR,SOYBEANS,"97,000","100,000","2,328,000",24,"12,571,000"," "
2002,"NEW JERSEY",34,"  ","   ","MARKETING YEAR",SOYBEANS," "," "," "," "," ",5.4
2002,"NEW YORK",36,"  ","   ",YEAR,SOYBEANS,"144,000","145,000","4,608,000",32,"26,957,000"," "
2002,"NEW YORK",36,"  ","   ","MARKETING YEAR",SOYBEANS," "," "," "," "," ",5.85
2002,"NORTH CAROLINA",37,"  ","   ",YEAR,SOYBEANS,"1,290,000","1,370,000","30,960,000",24,"174,305,000"," "
2002,"NORTH CAROLINA",37,"  ","   ","MARKETING YEAR",SOYBEANS," "," "," "," "," ",5.63
2002,"NORTH DAKOTA",38,"  ","   ",YEAR,SOYBEANS,"2,630,000","2,670,000","86,790,000",33,"461,723,000"," "
2002,"NORTH DAKOTA",38,"  ","   ","MARKETING YEAR",SOYBEANS," "," "," "," "," ",5.32
2002,OHIO,39,"  ","   ",YEAR,SOYBEANS,"4,720,000","4,750,000","151,040,000",32,"844,314,000"," "
2002,OHIO,39,"  ","   ","MARKETING YEAR",SOYBEANS," "," "," "," "," ",5.59
2002,OKLAHOMA,40,"  ","   ",YEAR,SOYBEANS,"260,000","280,000","6,760,000",26,"37,180,000"," "
2002,OKLAHOMA,40,"  ","   ","MARKETING YEAR",SOYBEANS," "," "," "," "," ",5.5
2002,PENNSYLVANIA,42,"  ","   ",YEAR,SOYBEANS,"390,000","405,000","10,140,000",26,"59,826,000"," "
2002,PENNSYLVANIA,42,"  ","   ","MARKETING YEAR",SOYBEANS," "," "," "," "," ",5.9
2002,"SOUTH CAROLINA",45,"  ","   ",YEAR,SOYBEANS,"415,000","435,000","7,055,000",17,"39,508,000"," "
2002,"SOUTH CAROLINA",45,"  ","   ","MARKETING YEAR",SOYBEANS," "," "," "," "," ",5.6
2002,"SOUTH DAKOTA",46,"  ","   ",YEAR,SOYBEANS,"4,090,000","4,250,000","126,790,000",31,"675,791,000"," "
2002,"SOUTH DAKOTA",46,"  ","   ","MARKETING YEAR",SOYBEANS," "," "," "," "," ",5.33
2002,TENNESSEE,47,"  ","   ",YEAR,SOYBEANS,"1,120,000","1,160,000","34,720,000",31,"197,904,000"," "
2002,TENNESSEE,47,"  ","   ","MARKETING YEAR",SOYBEANS," "," "," "," "," ",5.7
2002,TEXAS,48,"  ","   ",YEAR,SOYBEANS,"205,000","230,000","5,740,000",28,"29,274,000"," "
2002,TEXAS,48,"  ","   ","MARKETING YEAR",SOYBEANS," "," "," "," "," ",5.1
2002,VIRGINIA,51,"  ","   ",YEAR,SOYBEANS,"460,000","490,000","10,580,000",23,"58,613,000"," "
2002,VIRGINIA,51,"  ","   ","MARKETING YEAR",SOYBEANS," "," "," "," "," ",5.54
2002,"WEST VIRGINIA",54,"  ","   ",YEAR,SOYBEANS,"17,000","18,000","629,000",37,"3,548,000"," "
2002,"WEST VIRGINIA",54,"  ","   ","MARKETING YEAR",SOYBEANS," "," "," "," "," ",5.64
2002,WISCONSIN,55,"  ","   ",YEAR,SOYBEANS,"1,520,000","1,540,000","66,880,000",44,"357,808,000"," "
2002,WISCONSIN,55,"  ","   ","MARKETING YEAR",SOYBEANS," "," "," "," "," ",5.35
2003,ALABAMA,01,"  ","   ",YEAR,SOYBEANS,"160,000","170,000","5,760,000",36,"41,760,000"," "
2003,ALABAMA,01,"  ","   ","MARKETING YEAR",SOYBEANS," "," "," "," "," ",7.25
2003,ARKANSAS,05,"  ","   ",YEAR,SOYBEANS,"2,890,000","2,920,000","111,265,000",38.5,"791,094,000"," "
2003,ARKANSAS,05,"  ","   ","MARKETING YEAR",SOYBEANS," "," "," "," "," ",7.11
2003,DELAWARE,10,"  ","   ",YEAR,SOYBEANS,"178,000","180,000","6,408,000",36,"49,021,000"," "
2003,DELAWARE,10,"  ","   ","MARKETING YEAR",SOYBEANS," "," "," "," "," ",7.65
2003,FLORIDA,12,"  ","   ",YEAR,SOYBEANS,"12,000","13,000","360,000",30,"2,484,000"," "
2003,FLORIDA,12,"  ","   ","MARKETING YEAR",SOYBEANS," "," "," "," "," ",6.9
2003,GEORGIA,13,"  ","   ",YEAR,SOYBEANS,"180,000","190,000","6,120,000",34,"45,716,000"," "
2003,GEORGIA,13,"  ","   ","MARKETING YEAR",SOYBEANS," "," "," "," "," ",7.47
2003,ILLINOIS,17,"  ","   ",YEAR,SOYBEANS,"10,260,000","10,300,000","379,620,000",37,"2,850,946,000"," "
2003,ILLINOIS,17,"  ","   ","MARKETING YEAR",SOYBEANS," "," "," "," "," ",7.51
2003,INDIANA,18,"  ","   ",YEAR,SOYBEANS,"5,370,000","5,450,000","204,060,000",38,"1,565,140,000"," "
2003,INDIANA,18,"  ","   ","MARKETING YEAR",SOYBEANS," "," "," "," "," ",7.67
2003,IOWA,19,"  ","   ",YEAR,SOYBEANS,"10,550,000","10,600,000","342,875,000",32.5,"2,640,138,000"," "
2003,IOWA,19,"  ","   ","MARKETING YEAR",SOYBEANS," "," "," "," "," ",7.7
2003,KANSAS,20,"  ","   ",YEAR,SOYBEANS,"2,480,000","2,600,000","57,040,000",23,"438,067,000"," "
2003,KANSAS,20,"  ","   ","MARKETING YEAR",SOYBEANS," "," "," "," "," ",7.68
2003,KENTUCKY,21,"  ","   ",YEAR,SOYBEANS,"1,240,000","1,250,000","53,940,000",43.5,"399,156,000"," "
2003,KENTUCKY,21,"  ","   ","MARKETING YEAR",SOYBEANS," "," "," "," "," ",7.4
2003,LOUISIANA,22,"  ","   ",YEAR,SOYBEANS,"740,000","760,000","25,160,000",34,"171,088,000"," "
2003,LOUISIANA,22,"  ","   ","MARKETING YEAR",SOYBEANS," "," "," "," "," ",6.8
2003,MARYLAND,24,"  ","   ",YEAR,SOYBEANS,"430,000","435,000","15,910,000",37,"121,712,000"," "
2003,MARYLAND,24,"  ","   ","MARKETING YEAR",SOYBEANS," "," "," "," "," ",7.65
2003,MICHIGAN,26,"  ","   ",YEAR,SOYBEANS,"1,990,000","2,000,000","54,725,000",27.5,"399,493,000"," "
2003,MICHIGAN,26,"  ","   ","MARKETING YEAR",SOYBEANS," "," "," "," "," ",7.3
2003,MINNESOTA,27,"  ","   ",YEAR,SOYBEANS,"7,450,000","7,500,000","238,400,000",32,"1,730,784,000"," "
2003,MINNESOTA,27,"  ","   ","MARKETING YEAR",SOYBEANS," "," "," "," "," ",7.26
2003,MISSISSIPPI,28,"  ","   ",YEAR,SOYBEANS,"1,430,000","1,440,000","55,770,000",39,"368,640,000"," "
2003,MISSISSIPPI,28,"  ","   ","MARKETING YEAR",SOYBEANS," "," "," "," "," ",6.61
2003,MISSOURI,29,"  ","   ",YEAR,SOYBEANS,"4,950,000","5,000,000","146,025,000",29.5,"1,098,108,000"," "
2003,MISSOURI,29,"  ","   ","MARKETING YEAR",SOYBEANS," "," "," "," "," ",7.52
2003,NEBRASKA,31,"  ","   ",YEAR,SOYBEANS,"4,500,000","4,550,000","182,250,000",40.5,"1,279,395,000"," "
2003,NEBRASKA,31,"  ","   ","MARKETING YEAR",SOYBEANS," "," "," "," "," ",7.02
2003,"NEW JERSEY",34,"  ","   ",YEAR,SOYBEANS,"88,000","90,000","2,992,000",34,"21,991,000"," "
2003,"NEW JERSEY",34,"  ","   ","MARKETING YEAR",SOYBEANS," "," "," "," "," ",7.35
2003,"NEW YORK",36,"  ","   ",YEAR,SOYBEANS,"138,000","140,000","4,830,000",35,"37,674,000"," "
2003,"NEW YORK",36,"  ","   ","MARKETING YEAR",SOYBEANS," "," "," "," "," ",7.8
2003,"NORTH CAROLINA",37,"  ","   ",YEAR,SOYBEANS,"1,400,000","1,450,000","42,000,000",30,"306,180,000"," "
2003,"NORTH CAROLINA",37,"  ","   ","MARKETING YEAR",SOYBEANS," "," "," "," "," ",7.29
2003,"NORTH DAKOTA",38,"  ","   ",YEAR,SOYBEANS,"3,050,000","3,150,000","88,450,000",29,"585,539,000"," "
2003,"NORTH DAKOTA",38,"  ","   ","MARKETING YEAR",SOYBEANS," "," "," "," "," ",6.62
2003,OHIO,39,"  ","   ",YEAR,SOYBEANS,"4,280,000","4,300,000","164,780,000",38.5,"1,186,416,000"," "
2003,OHIO,39,"  ","   ","MARKETING YEAR",SOYBEANS," "," "," "," "," ",7.2
2003,OKLAHOMA,40,"  ","   ",YEAR,SOYBEANS,"245,000","270,000","6,370,000",26,"47,138,000"," "
2003,OKLAHOMA,40,"  ","   ","MARKETING YEAR",SOYBEANS," "," "," "," "," ",7.4
2003,PENNSYLVANIA,42,"  ","   ",YEAR,SOYBEANS,"375,000","380,000","15,375,000",41,"112,699,000"," "
2003,PENNSYLVANIA,42,"  ","   ","MARKETING YEAR",SOYBEANS," "," "," "," "," ",7.33
2003,"SOUTH CAROLINA",45,"  ","   ",YEAR,SOYBEANS,"420,000","430,000","11,760,000",28,"89,376,000"," "
2003,"SOUTH CAROLINA",45,"  ","   ","MARKETING YEAR",SOYBEANS," "," "," "," "," ",7.6
2003,"SOUTH DAKOTA",46,"  ","   ",YEAR,SOYBEANS,"4,200,000","4,250,000","115,500,000",27.5,"803,880,000"," "
2003,"SOUTH DAKOTA",46,"  ","   ","MARKETING YEAR",SOYBEANS," "," "," "," "," ",6.96
2003,TENNESSEE,47,"  ","   ",YEAR,SOYBEANS,"1,120,000","1,150,000","47,040,000",42,"331,632,000"," "
2003,TENNESSEE,47,"  ","   ","MARKETING YEAR",SOYBEANS," "," "," "," "," ",7.05
2003,TEXAS,48,"  ","   ",YEAR,SOYBEANS,"185,000","200,000","5,365,000",29,"37,555,000"," "
2003,TEXAS,48,"  ","   ","MARKETING YEAR",SOYBEANS," "," "," "," "," ",7
